Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do;jsessionid=A41F814374A17B893E6A6E7E57B7A722?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=04-01-2009&end=07-12-2021&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
,,obs. status
2021-12-07,96.8491,Normal value (A)
2021-12-06,97.0744,Normal value (A)
2021-12-05,-,Missing value; data cannot exist (M)
2021-12-04,-,Missing value; data cannot exist (M)
2021-12-03,97.0586,Normal value (A)
2021-12-02,97.2522,Normal value (A)
2021-12-01,97.1458,Normal value (A)
2021-11-30,97.5260,Normal value (A)
2021-11-29,97.2074,Normal value (A)
2021-11-28,-,Missing value; data cannot exist (M)
2021-11-27,-,Missing value; data cannot exist (M)
2021-11-26,97.3222,Normal value (A)
2021-11-25,96.8439,Normal value (A)
2021-11-24,96.7440,Normal value (A)
2021-11-23,97.0559,Normal value (A)
2021-11-22,96.9390,Normal value (A)
2021-11-21,-,Missing value; data cannot exist (M)
2021-11-20,-,Missing value; data cannot exist (M)
2021-11-19,96.9008,Normal value (A)
2021-11-18,97.1432,Normal value (A)
2021-11-17,96.9937,Normal value (A)
2021-11-16,97.3078,Normal value (A)
2021-11-15,97.6829,Normal value (A)
2021-11-14,-,Missing value; data cannot exist (M)
2021-11-13,-,Missing value; data cannot exist (M)
2021-11-12,97.8216,Normal value (A)
2021-11-11,97.8782,Normal value (A)
2021-11-10,98.1685,Normal value (A)
2021-11-09,98.1633,Normal value (A)
2021-11-08,98.2561,Normal value (A)
2021-11-07,-,Missing value; data cannot exist (M)
2021-11-06,-,Missing value; data cannot exist (M)
2021-11-05,98.0282,Normal value (A)
2021-11-04,98.2209,Normal value (A)
2021-11-03,98.1649,Normal value (A)
2021-11-02,98.3062,Normal value (A)
2021-11-01,98.1585,Normal value (A)
2021-10-31,-,Missing value; data cannot exist (M)
2021-10-30,-,Missing value; data cannot exist (M)
2021-10-29,98.4444,Normal value (A)
2021-10-28,98.2569,Normal value (A)
2021-10-27,98.3990,Normal value (A)
2021-10-26,98.2925,Normal value (A)
2021-10-25,98.3220,Normal value (A)
2021-10-24,-,Missing value; data cannot exist (M)
2021-10-23,-,Missing value; data cannot exist (M)
2021-10-22,98.3947,Normal value (A)
2021-10-21,98.4763,Normal value (A)
2021-10-20,98.4099,Normal value (A)
2021-10-19,98.4755,Normal value (A)
2021-10-18,98.4448,Normal value (A)
2021-10-17,-,Missing value; data cannot exist (M)
2021-10-16,-,Missing value; data cannot exist (M)
2021-10-15,98.3854,Normal value (A)
2021-10-14,98.3793,Normal value (A)
