"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-01",98.69752,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-02",98.50696,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-03",98.34988,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-04",98.25806,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-05",98.20577,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-06",98.16659,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-07",98.13055,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-08",98.10834,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-09",98.13218,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-10",98.24306,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-11",98.4318,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-12",98.70346,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-01",99.06396,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-02",99.42374,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-03",99.658,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-04",99.6678,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-05",99.56644,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-06",99.49441,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-07",99.54543,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-08",99.66316,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-09",99.76546,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-10",99.80205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-11",99.82744,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-12",99.92936,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-01",100.1683,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-02",100.4404,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-03",100.5895,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-04",100.4851,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-05",100.2245,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-06",99.92141,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-07",99.65092,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-08",99.43701,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-09",99.31264,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-10",99.32329,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-11",99.44096,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-12",99.65871,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-01",99.97813,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-02",100.2968,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-03",100.4747,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-04",100.4011,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-05",100.2023,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-06",100.0349,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-07",100.0041,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-08",100.0503,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-09",100.0853,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-10",100.0514,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-11",99.9916,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-12",99.97797,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-01",100.0666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-02",100.2059,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-03",100.3232,
