"",BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A,BBDG1.M.HWWI.N.EURO.ENERGY00.I15.EUR.A_FLAGS
"",HWWI Commodity Price Index / Euro area / Energy raw materials / Euro denominated,
BBK_COMM_SRC,Hamburgisches WeltWirtschaftsInstitut (HWWI),
Comment,Daten werden von der Quelle im Wesentlichen ungeprüft übernommen.,
Decimals,1,
Methodological explanation,"Der HWWI-Rohstoffpreisindex zeigt die Preisentwicklungen ausgesuchter wichtiger Rohstoffe auf den Weltrohstoffmärkten. Bei der Auswahl des Warenkorbs wurde angestrebt, nur unbearbeitete oder wenig bearbeitete Waren einzubeziehen. Die einzelnen Rohstoffe im HWWI-Rohstoffpreisindex Euroraum sind mit ihren Anteilen an den Importen der Länder des Euro-Währungsgebiets aus Drittländern gewichtet (2012-2014). Der Index ist somit ein Indikator für die Kostenentwicklung bei importierten Rohstoffen.",
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2021-12-02 15:56:54,
1978-09,22.4,
1978-10,21.7,
1978-11,24.7,
1978-12,25.2,
1979-01,28.9,
1979-02,37.6,
1979-03,36.5,
1979-04,35.0,
1979-05,48.0,
1979-06,56.4,
1979-07,51.6,
1979-08,52.9,
1979-09,54.1,
1979-10,58.8,
1979-11,63.3,
1979-12,61.6,
1980-01,56.1,
1980-02,53.5,
1980-03,56.7,
1980-04,58.1,
1980-05,55.8,
1980-06,54.4,
1980-07,52.3,
1980-08,48.6,
1980-09,51.4,
1980-10,57.7,
1980-11,65.0,
1980-12,65.9,
1981-01,65.3,
1981-02,66.1,
1981-03,65.4,
1981-04,66.3,
1981-05,65.2,
1981-06,64.0,
1981-07,69.9,
1981-08,72.7,
1981-09,69.2,
1981-10,68.9,
1981-11,70.1,
1981-12,70.6,
1982-01,70.5,
1982-02,62.8,
1982-03,60.7,
1982-04,70.1,
1982-05,71.1,
1982-06,74.2,
1982-07,73.0,
1982-08,72.0,
1982-09,76.7,
1982-10,78.0,
1982-11,75.2,
1982-12,68.6,
1983-01,66.4,
1983-02,64.2,
1983-03,62.8,
1983-04,67.1,
1983-05,67.1,
1983-06,70.9,
1983-07,72.3,
1983-08,75.3,
1983-09,73.5,
1983-10,70.9,
1983-11,70.7,
1983-12,71.8,
1984-01,75.3,
1984-02,73.4,
1984-03,71.6,
1984-04,72.7,
1984-05,75.0,
1984-06,72.8,
1984-07,73.1,
1984-08,75.0,
1984-09,78.8,
1984-10,78.1,
1984-11,76.7,
1984-12,77.8,
1985-01,79.5,
1985-02,86.2,
1985-03,86.3,
1985-04,79.0,
1985-05,76.8,
1985-06,74.9,
1985-07,71.8,
1985-08,71.1,
1985-09,72.8,
1985-10,70.7,
1985-11,72.5,
1985-12,62.7,
1986-01,50.0,
1986-02,39.2,
1986-03,32.5,
1986-04,28.2,
1986-05,31.2,
1986-06,26.9,
1986-07,21.7,
1986-08,29.3,
1986-09,29.7,
1986-10,28.8,
1986-11,30.6,
1986-12,32.7,
1987-01,34.8,
1987-02,32.2,
1987-03,33.6,
1987-04,32.9,
1987-05,33.4,
1987-06,34.3,
1987-07,36.9,
1987-08,35.6,
1987-09,33.6,
1987-10,34.2,
1987-11,30.6,
1987-12,29.5,
1988-01,28.7,
1988-02,27.5,
1988-03,26.0,
1988-04,28.6,
1988-05,28.5,
1988-06,27.9,
1988-07,29.2,
1988-08,28.9,
1988-09,26.1,
1988-10,24.1,
1988-11,24.4,
1988-12,28.2,
1989-01,32.1,
1989-02,32.0,
1989-03,35.5,
1989-04,37.8,
1989-05,36.6,
1989-06,35.9,
1989-07,34.9,
1989-08,34.1,
1989-09,36.0,
1989-10,36.7,
1989-11,35.7,
1989-12,35.6,
1990-01,35.8,
1990-02,34.3,
1990-03,33.4,
1990-04,30.8,
1990-05,30.2,
1990-06,28.6,
1990-07,30.5,
1990-08,41.5,
1990-09,52.0,
1990-10,53.3,
1990-11,48.0,
1990-12,41.5,
1991-01,36.1,
1991-02,28.8,
1991-03,31.3,
1991-04,33.9,
1991-05,34.7,
1991-06,34.3,
1991-07,36.2,
1991-08,35.9,
1991-09,36.0,
1991-10,38.3,
1991-11,35.6,
1991-12,30.5,
1992-01,29.8,
1992-02,30.6,
1992-03,31.0,
1992-04,32.6,
1992-05,33.4,
1992-06,34.3,
1992-07,31.5,
1992-08,30.1,
1992-09,31.1,
1992-10,32.5,
1992-11,32.9,
1992-12,31.4,
1993-01,31.0,
1993-02,32.9,
1993-03,33.7,
1993-04,32.7,
1993-05,32.5,
1993-06,32.0,
1993-07,31.5,
1993-08,31.7,
1993-09,29.6,
1993-10,30.9,
1993-11,29.5,
1993-12,26.3,
1994-01,27.2,
1994-02,26.6,
