"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-01",98.57916,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-02",98.49413,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-03",98.47779,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-04",98.72189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-05",99.07534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-06",99.3054,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-07",99.54947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.83237,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-09",100.075,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-10",100.2532,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.519,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.7531,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.884,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.8112,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.5905,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-04",100.254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-05",100.0941,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-06",100.0843,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-07",100.1648,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-08",100.2216,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-09",100.2264,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-10",100.2273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-11",100.1707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2010-12",100.121,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-01",100.2857,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-02",100.4495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-03",100.4885,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-04",100.4114,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-05",100.2263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-06",100.017,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-07",99.7341,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-08",99.1199,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-09",98.46474,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.97413,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.72901,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2011-12",97.5291,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-01",97.45378,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-02",97.54093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-03",97.62547,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-04",97.71003,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-05",97.61205,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-06",97.63707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-07",97.93462,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.14168,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.2534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-10",98.11618,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-11",97.72642,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2012-12",97.50979,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-01",97.40057,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-02",97.26352,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-03",97.46093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-04",97.82133,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.04207,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.02361,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-07",97.96455,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-08",98.12753,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.48772,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.04355,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.63014,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2013-12",100.0583,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.3488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.6043,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7665,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.7864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.8256,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.8416,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.7225,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.5704,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.5213,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.5491,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.515,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.4871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6263,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6774,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.7931,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.9201,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.9679,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.0294,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.0646,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.0757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.1035,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.027,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.8042,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.5324,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-03",100.3238,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-04",100.2773,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-05",100.3398,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4631,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4943,
