"";BBDP1.M.DE.Y.VPI.C.A00000.I15.L;BBDP1.M.DE.Y.VPI.C.A00000.I15.L_FLAGS
"";Verbraucherpreisindex / Deutschland / kalender- und saisonbereinigt / Insgesamt;
Einheit;2015=100;
Dimension;Eins;
Stand vom;10.12.2021 08:14:08 Uhr;
2009-01-31;92,0;
2009-02-28;92,1;
2009-03-31;91,8;
2009-04-30;91,8;
2009-05-31;91,9;
2009-06-30;92,3;
2009-07-31;92,0;
2009-08-31;92,3;
2009-09-30;92,2;
2009-10-31;92,4;
2009-11-30;92,4;
2009-12-31;92,6;
2010-01-31;92,7;
2010-02-28;92,7;
2010-03-31;93,0;
2010-04-30;93,2;
2010-05-31;93,3;
2010-06-30;93,3;
2010-07-31;93,1;
2010-08-31;93,2;
2010-09-30;93,3;
2010-10-31;93,5;
2010-11-30;93,7;
2010-12-31;93,9;
2011-01-31;94,3;
2011-02-28;94,4;
2011-03-31;94,8;
2011-04-30;95,2;
2011-05-31;95,2;
2011-06-30;95,1;
2011-07-31;95,2;
2011-08-31;95,3;
2011-09-30;95,7;
2011-10-31;95,7;
2011-11-30;95,8;
2011-12-31;95,8;
2012-01-31;96,1;
2012-02-29;96,5;
2012-03-31;96,9;
2012-04-30;96,9;
2012-05-31;96,8;
2012-06-30;96,8;
2012-07-31;97,0;
2012-08-31;97,2;
2012-09-30;97,5;
2012-10-31;97,6;
2012-11-30;97,6;
2012-12-31;97,6;
2013-01-31;97,8;
2013-02-28;98,1;
2013-03-31;98,0;
2013-04-30;98,2;
2013-05-31;98,5;
2013-06-30;98,7;
2013-07-31;98,8;
2013-08-31;98,7;
2013-09-30;98,9;
2013-10-31;98,7;
2013-11-30;98,9;
2013-12-31;99,0;
2014-01-31;99,2;
2014-02-28;99,3;
2014-03-31;99,3;
2014-04-30;99,5;
2014-05-31;99,3;
2014-06-30;99,4;
2014-07-31;99,5;
2014-08-31;99,7;
2014-09-30;99,8;
2014-10-31;99,6;
2014-11-30;99,5;
2014-12-31;99,2;
2015-01-31;99,4;
2015-02-28;99,7;
2015-03-31;99,9;
2015-04-30;100,1;
2015-05-31;100,3;
2015-06-30;100,2;
2015-07-31;100,1;
2015-08-31;100,1;
2015-09-30;100,0;
2015-10-31;100,1;
2015-11-30;100,3;
2015-12-31;99,9;
2016-01-31;99,8;
2016-02-29;99,9;
2016-03-31;100,1;
2016-04-30;100,2;
2016-05-31;100,4;
2016-06-30;100,5;
2016-07-31;100,5;
2016-08-31;100,5;
2016-09-30;100,7;
2016-10-31;100,9;
2016-11-30;101,0;
2016-12-31;101,4;
2017-01-31;101,5;
2017-02-28;101,7;
2017-03-31;101,6;
2017-04-30;101,7;
2017-05-31;101,7;
2017-06-30;101,8;
2017-07-31;101,9;
2017-08-31;102,1;
2017-09-30;102,3;
2017-10-31;102,1;
2017-11-30;102,6;
2017-12-31;102,8;
2018-01-31;102,9;
2018-02-28;102,9;
2018-03-31;103,0;
2018-04-30;103,2;
2018-05-31;103,6;
2018-06-30;103,7;
2018-07-31;103,7;
2018-08-31;104,0;
2018-09-30;104,4;
2018-10-31;104,5;
2018-11-30;104,7;
2018-12-31;104,4;
2019-01-31;104,3;
2019-02-28;104,4;
2019-03-31;104,6;
2019-04-30;105,1;
2019-05-31;105,3;
2019-06-30;105,3;
2019-07-31;105,4;
2019-08-31;105,5;
2019-09-30;105,7;
2019-10-31;105,7;
2019-11-30;105,8;
2019-12-31;106,0;
2020-01-31;106,2;
2020-02-29;106,2;
2020-03-31;106,0;
2020-04-30;106,0;
2020-05-31;105,9;
2020-06-30;106,2;
2020-07-31;105,4;
2020-08-31;105,5;
2020-09-30;105,4;
2020-10-31;105,6;
2020-11-30;105,5;
2020-12-31;105,8;
2021-01-31;107,2;
2021-02-28;107,5;
2021-03-31;107,9;
2021-04-30;108,1;
2021-05-31;108,4;
2021-06-30;108,8;
2021-07-31;109,3;
2021-08-31;109,6;
2021-09-30;109,7;
2021-10-31;110,3;
2021-11-30;111,1;
"";Quelle: Kalender- und Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
