"";BBEX3.D.JPY.EUR.BB.AC.000;BBEX3.D.JPY.EUR.BB.AC.000_FLAGS
"";Euro-Referenzkurs der EZB / 1 EUR = ... JPY / Japan;
Einheit;JPY;
Dimension;Eins;
Stand vom;10.12.2021 15:58:44 Uhr;
2009-01-01;.;Kein Wert vorhanden
2009-01-02;126,64;
2009-01-03;.;Kein Wert vorhanden
2009-01-04;.;Kein Wert vorhanden
2009-01-05;126,81;
2009-01-06;125,84;
2009-01-07;126,77;
2009-01-08;124,34;
2009-01-09;124,40;
2009-01-10;.;Kein Wert vorhanden
2009-01-11;.;Kein Wert vorhanden
2009-01-12;120,48;
2009-01-13;118,54;
2009-01-14;117,66;
2009-01-15;116,97;
2009-01-16;120,11;
2009-01-17;.;Kein Wert vorhanden
2009-01-18;.;Kein Wert vorhanden
2009-01-19;119,16;
2009-01-20;116,90;
2009-01-21;116,11;
2009-01-22;114,98;
2009-01-23;113,65;
2009-01-24;.;Kein Wert vorhanden
2009-01-25;.;Kein Wert vorhanden
2009-01-26;115,82;
2009-01-27;117,59;
2009-01-28;118,57;
2009-01-29;118,07;
2009-01-30;114,98;
2009-01-31;.;Kein Wert vorhanden
2009-02-01;.;Kein Wert vorhanden
2009-02-02;114,04;
2009-02-03;115,02;
2009-02-04;114,28;
2009-02-05;115,04;
2009-02-06;116,70;
2009-02-07;.;Kein Wert vorhanden
2009-02-08;.;Kein Wert vorhanden
2009-02-09;119,21;
2009-02-10;118,39;
2009-02-11;116,50;
2009-02-12;115,46;
2009-02-13;117,59;
2009-02-14;.;Kein Wert vorhanden
2009-02-15;.;Kein Wert vorhanden
2009-02-16;117,33;
2009-02-17;116,20;
2009-02-18;116,83;
2009-02-19;118,99;
2009-02-20;118,62;
2009-02-21;.;Kein Wert vorhanden
2009-02-22;.;Kein Wert vorhanden
2009-02-23;121,09;
2009-02-24;122,40;
2009-02-25;123,76;
2009-02-26;125,33;
2009-02-27;123,23;
2009-02-28;.;Kein Wert vorhanden
2009-03-01;.;Kein Wert vorhanden
2009-03-02;122,52;
2009-03-03;123,64;
2009-03-04;124,67;
2009-03-05;124,71;
2009-03-06;122,53;
2009-03-07;.;Kein Wert vorhanden
2009-03-08;.;Kein Wert vorhanden
2009-03-09;124,40;
2009-03-10;125,45;
2009-03-11;125,35;
2009-03-12;124,30;
2009-03-13;127,03;
2009-03-14;.;Kein Wert vorhanden
2009-03-15;.;Kein Wert vorhanden
2009-03-16;128,51;
2009-03-17;128,10;
2009-03-18;128,94;
2009-03-19;129,67;
2009-03-20;129,87;
2009-03-21;.;Kein Wert vorhanden
2009-03-22;.;Kein Wert vorhanden
2009-03-23;131,12;
2009-03-24;132,68;
2009-03-25;132,24;
2009-03-26;133,63;
2009-03-27;129,91;
2009-03-28;.;Kein Wert vorhanden
2009-03-29;.;Kein Wert vorhanden
2009-03-30;127,93;
2009-03-31;131,17;
2009-04-01;130,86;
2009-04-02;133,48;
2009-04-03;134,08;
2009-04-04;.;Kein Wert vorhanden
2009-04-05;.;Kein Wert vorhanden
2009-04-06;136,02;
2009-04-07;132,80;
2009-04-08;132,37;
2009-04-09;133,05;
2009-04-10;.;Kein Wert vorhanden
2009-04-11;.;Kein Wert vorhanden
2009-04-12;.;Kein Wert vorhanden
2009-04-13;.;Kein Wert vorhanden
2009-04-14;132,57;
2009-04-15;130,70;
2009-04-16;130,50;
2009-04-17;129,67;
2009-04-18;.;Kein Wert vorhanden
2009-04-19;.;Kein Wert vorhanden
2009-04-20;127,80;
2009-04-21;126,82;
2009-04-22;126,85;
2009-04-23;128,28;
2009-04-24;128,30;
2009-04-25;.;Kein Wert vorhanden
2009-04-26;.;Kein Wert vorhanden
2009-04-27;126,82;
2009-04-28;125,08;
2009-04-29;128,53;
2009-04-30;130,34;
2009-05-01;.;Kein Wert vorhanden
2009-05-02;.;Kein Wert vorhanden
2009-05-03;.;Kein Wert vorhanden
2009-05-04;131,52;
2009-05-05;132,59;
2009-05-06;131,17;
2009-05-07;132,72;
2009-05-08;133,36;
2009-05-09;.;Kein Wert vorhanden
2009-05-10;.;Kein Wert vorhanden
2009-05-11;132,82;
2009-05-12;132,90;
2009-05-13;130,90;
2009-05-14;129,41;
2009-05-15;128,67;
2009-05-16;.;Kein Wert vorhanden
2009-05-17;.;Kein Wert vorhanden
2009-05-18;129,28;
2009-05-19;130,91;
2009-05-20;131,06;
2009-05-21;130,84;
2009-05-22;131,41;
2009-05-23;.;Kein Wert vorhanden
2009-05-24;.;Kein Wert vorhanden
2009-05-25;133,22;
2009-05-26;132,06;
2009-05-27;132,48;
2009-05-28;134,38;
2009-05-29;135,22;
2009-05-30;.;Kein Wert vorhanden
2009-05-31;.;Kein Wert vorhanden
2009-06-01;134,89;
2009-06-02;136,09;
2009-06-03;136,33;
2009-06-04;136,32;
2009-06-05;137,48;
2009-06-06;.;Kein Wert vorhanden
2009-06-07;.;Kein Wert vorhanden
2009-06-08;136,53;
2009-06-09;136,80;
2009-06-10;138,03;
2009-06-11;137,39;
2009-06-12;137,55;
2009-06-13;.;Kein Wert vorhanden
2009-06-14;.;Kein Wert vorhanden
2009-06-15;136,08;
2009-06-16;134,78;
2009-06-17;133,28;
2009-06-18;133,57;
2009-06-19;134,84;
2009-06-20;.;Kein Wert vorhanden
2009-06-21;.;Kein Wert vorhanden
2009-06-22;133,02;
2009-06-23;133,49;
2009-06-24;133,77;
2009-06-25;134,34;
2009-06-26;134,50;
2009-06-27;.;Kein Wert vorhanden
2009-06-28;.;Kein Wert vorhanden
2009-06-29;134,03;
2009-06-30;135,51;
2009-07-01;136,53;
2009-07-02;135,95;
2009-07-03;134,32;
2009-07-04;.;Kein Wert vorhanden
2009-07-05;.;Kein Wert vorhanden
2009-07-06;132,44;
2009-07-07;133,61;
2009-07-08;131,02;
2009-07-09;130,05;
2009-07-10;128,21;
2009-07-11;.;Kein Wert vorhanden
2009-07-12;.;Kein Wert vorhanden
2009-07-13;129,03;
2009-07-14;130,34;
2009-07-15;131,57;
2009-07-16;132,63;
2009-07-17;132,06;
2009-07-18;.;Kein Wert vorhanden
2009-07-19;.;Kein Wert vorhanden
2009-07-20;134,44;
2009-07-21;134,10;
2009-07-22;132,49;
2009-07-23;134,23;
2009-07-24;134,92;
2009-07-25;.;Kein Wert vorhanden
2009-07-26;.;Kein Wert vorhanden
2009-07-27;135,61;
2009-07-28;134,53;
2009-07-29;133,86;
2009-07-30;133,89;
2009-07-31;135,33;
2009-08-01;.;Kein Wert vorhanden
2009-08-02;.;Kein Wert vorhanden
2009-08-03;135,86;
2009-08-04;136,22;
2009-08-05;137,38;
2009-08-06;137,31;
2009-08-07;136,89;
2009-08-08;.;Kein Wert vorhanden
2009-08-09;.;Kein Wert vorhanden
2009-08-10;138,01;
2009-08-11;136,72;
2009-08-12;135,77;
2009-08-13;137,52;
2009-08-14;135,61;
2009-08-15;.;Kein Wert vorhanden
2009-08-16;.;Kein Wert vorhanden
2009-08-17;132,94;
2009-08-18;134,12;
2009-08-19;132,55;
2009-08-20;134,11;
2009-08-21;134,19;
2009-08-22;.;Kein Wert vorhanden
2009-08-23;.;Kein Wert vorhanden
2009-08-24;135,57;
2009-08-25;135,05;
2009-08-26;134,32;
2009-08-27;133,61;
2009-08-28;134,75;
2009-08-29;.;Kein Wert vorhanden
2009-08-30;.;Kein Wert vorhanden
2009-08-31;133,10;
2009-09-01;133,26;
2009-09-02;131,63;
2009-09-03;132,47;
2009-09-04;132,45;
2009-09-05;.;Kein Wert vorhanden
2009-09-06;.;Kein Wert vorhanden
2009-09-07;133,33;
2009-09-08;133,57;
2009-09-09;134,13;
2009-09-10;133,92;
2009-09-11;132,62;
2009-09-12;.;Kein Wert vorhanden
2009-09-13;.;Kein Wert vorhanden
2009-09-14;132,30;
2009-09-15;133,26;
2009-09-16;132,60;
2009-09-17;134,38;
2009-09-18;134,17;
2009-09-19;.;Kein Wert vorhanden
2009-09-20;.;Kein Wert vorhanden
2009-09-21;135,46;
2009-09-22;135,09;
2009-09-23;134,96;
2009-09-24;133,85;
2009-09-25;132,59;
2009-09-26;.;Kein Wert vorhanden
2009-09-27;.;Kein Wert vorhanden
2009-09-28;131,15;
2009-09-29;130,91;
2009-09-30;131,07;
2009-10-01;130,78;
2009-10-02;129,95;
2009-10-03;.;Kein Wert vorhanden
2009-10-04;.;Kein Wert vorhanden
2009-10-05;131,41;
2009-10-06;131,21;
2009-10-07;130,68;
2009-10-08;130,46;
2009-10-09;131,12;
2009-10-10;.;Kein Wert vorhanden
2009-10-11;.;Kein Wert vorhanden
2009-10-12;132,99;
2009-10-13;133,02;
2009-10-14;133,39;
2009-10-15;134,07;
2009-10-16;135,60;
2009-10-17;.;Kein Wert vorhanden
2009-10-18;.;Kein Wert vorhanden
2009-10-19;135,66;
2009-10-20;135,53;
2009-10-21;135,82;
2009-10-22;136,90;
2009-10-23;137,97;
2009-10-24;.;Kein Wert vorhanden
2009-10-25;.;Kein Wert vorhanden
2009-10-26;138,09;
2009-10-27;136,91;
